LR,N_LAYERS,DROPOUT,WEIGHT_DECAY
1e-4,4,0.1,0.0
1e-4,6,0.2,0.0
1e-4,8,0.1,0.01
3e-4,4,0.2,0.0
3e-4,6,0.1,0.01
3e-4,8,0.1,0.0
1e-3,4,0.1,0.01
1e-3,6,0.1,0.0
1e-3,8,0.2,0.0
